,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
43,MS,F,17,U,GT3,T,1,0,health,other,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,yes,3,3,2,1,1,5,4,5,9,8
44,GP,M,16,U,GT3,T,-1,1,at_home,other,home,mother,0,0,0,no,yes,no,no,yes,no,no,no,4,2,3,0,1,2,11,8,11,15
45,GP,F,15,U,GT3,T,0,1,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,no,yes,4,3,2,1,2,5,0,7,10,7
46,GP,F,15,U,GT3,T,1,3,other,services,course,mother,0,0,0,no,no,no,no,yes,yes,yes,yes,4,2,3,1,0,4,1,9,7,17
47,GP,F,16,R,GT3,T,4,0,other,services,reputation,father,0,0,0,no,yes,no,no,yes,yes,yes,yes,2,3,4,1,1,4,0,7,7,9
48,MS,F,15,U,GT3,T,1,1,at_home,teacher,home,mother,0,1,0,no,no,no,yes,no,yes,yes,yes,4,4,2,1,1,4,2,10,8,19
49,MS,F,15,R,GT3,T,3,4,other,other,course,mother,0,1,0,no,yes,no,yes,yes,no,yes,no,3,4,2,1,1,1,1,8,4,19
50,MS,M,16,U,GT3,T,0,1,other,other,course,mother,1,1,0,no,no,no,no,yes,yes,no,no,3,4,3,1,1,5,0,5,9,15
51,GP,M,15,U,LE3,T,0,0,services,other,reputation,father,1,0,0,no,yes,no,yes,yes,yes,no,yes,3,2,2,1,3,4,2,6,9,8
52,GP,M,16,U,GT3,A,1,2,other,other,course,mother,0,1,0,no,yes,no,yes,yes,yes,yes,yes,3,2,3,1,1,4,2,8,9,12
53,MS,F,18,R,GT3,T,0,2,at_home,other,course,mother,0,0,0,no,yes,no,no,yes,yes,no,no,4,3,2,2,4,5,3,7,12,5
54,GP,F,15,R,LE3,T,3,3,other,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,3,2,0,1,4,0,7,10,12
55,MS,M,16,U,LE3,T,1,3,services,other,reputation,mother,0,1,0,no,no,no,no,yes,yes,yes,yes,4,3,2,1,1,1,3,10,9,14
56,GP,F,16,R,GT3,T,1,3,other,other,course,mother,0,2,0,no,no,no,yes,yes,yes,no,yes,4,2,3,1,1,1,0,8,5,11
57,MS,M,16,U,GT3,T,1,0,other,other,course,father,0,1,0,no,yes,no,yes,yes,yes,yes,no,3,2,2,0,1,5,1,9,5,10
58,MS,M,16,U,LE3,T,0,0,teacher,other,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,3,3,1,0,1,4,0,3,10,10
59,MS,M,16,U,GT3,A,1,0,health,other,course,father,1,1,1,no,yes,yes,yes,yes,yes,yes,no,3,3,5,1,1,4,4,9,6,8
60,MS,M,15,U,GT3,T,1,3,services,services,home,father,1,0,0,no,no,no,no,yes,no,yes,no,5,2,2,1,4,4,0,5,4,10
61,MS,M,16,U,LE3,T,1,0,services,services,other,mother,0,1,0,no,no,no,yes,yes,yes,yes,no,5,4,4,2,1,3,1,8,6,15
62,MS,F,15,R,LE3,T,1,1,services,other,other,mother,1,1,0,no,no,no,no,yes,yes,no,no,4,3,2,1,1,4,0,9,6,14
63,GP,F,15,U,GT3,T,2,0,services,other,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,1,1,2,0,12,10,22
64,GP,F,16,U,LE3,T,0,3,other,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,3,5,0,5,8,12
65,MS,M,15,R,LE3,T,2,0,other,other,course,mother,0,1,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,4,3,10,8,17
66,GP,M,15,U,GT3,T,1,1,services,other,course,father,0,1,0,no,no,no,no,yes,yes,yes,no,1,4,2,0,1,4,0,6,7,12
67,GP,M,18,U,LE3,T,3,1,other,other,course,mother,0,1,0,no,no,yes,no,yes,yes,no,yes,4,4,2,1,1,1,1,9,19,14
68,GP,M,16,U,GT3,T,1,0,services,other,course,mother,1,1,1,no,yes,yes,yes,yes,yes,yes,no,4,2,4,1,1,1,1,9,11,16
69,GP,M,18,R,GT3,T,0,1,other,teacher,home,mother,0,2,0,no,yes,no,no,yes,yes,yes,no,2,2,5,0,4,4,4,13,8,9
70,MS,F,17,U,GT3,T,1,1,services,other,course,mother,0,1,0,no,no,no,yes,yes,yes,yes,no,1,2,3,1,1,1,0,7,7,17
71,GP,F,15,R,GT3,T,1,0,other,other,home,mother,0,1,0,no,yes,no,no,yes,no,yes,no,2,2,2,1,1,2,2,4,9,16
72,GP,M,16,U,GT3,T,0,0,services,at_home,course,mother,0,1,0,no,yes,no,no,yes,yes,no,no,4,2,0,0,1,3,-4,9,7,13
73,MS,M,15,U,GT3,T,1,1,services,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,3,1,3,3,1,10,14,13
74,GP,F,18,R,LE3,T,2,0,services,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,3,5,3,9,11,17
75,GP,M,15,U,GT3,A,1,3,services,other,home,mother,0,2,0,no,yes,no,no,yes,yes,no,no,3,2,2,1,1,4,0,11,16,10
76,GP,F,15,U,LE3,T,3,1,services,services,course,mother,1,0,0,no,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,23,14,5,10
77,MS,F,15,U,GT3,T,2,3,services,services,course,other,0,1,0,no,yes,no,yes,yes,yes,yes,no,3,0,3,0,1,4,5,9,5,9
78,MS,M,20,U,LE3,T,4,1,other,other,course,mother,1,1,0,no,no,no,yes,yes,yes,no,yes,4,2,1,1,5,4,4,5,7,18
79,MS,F,17,U,LE3,T,0,0,teacher,other,course,mother,0,1,0,yes,yes,no,yes,yes,yes,yes,yes,2,2,2,0,1,4,5,5,7,11
80,GP,F,15,R,LE3,T,2,0,other,services,other,mother,0,2,0,no,yes,no,no,no,yes,yes,no,3,3,2,1,1,4,11,11,10,7
81,GP,M,17,U,GT3,T,0,0,other,other,other,mother,1,0,0,no,no,no,yes,yes,yes,no,no,5,3,1,1,1,4,0,2,7,20
82,GP,M,15,U,LE3,T,0,0,other,teacher,reputation,mother,1,0,0,no,no,no,no,yes,yes,yes,yes,3,3,1,1,1,2,1,9,6,20
83,GP,F,15,R,GT3,T,4,0,services,teacher,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,yes,3,0,4,1,6,4,3,11,7,18
84,MS,M,15,R,GT3,T,3,3,at_home,services,course,mother,1,0,0,no,no,no,yes,yes,yes,no,no,0,3,3,1,1,4,12,11,11,13
85,GP,F,15,U,LE3,T,1,0,at_home,other,course,father,0,2,0,yes,yes,no,no,yes,yes,no,no,5,2,4,1,1,1,1,6,7,6
86,MS,F,15,U,LE3,A,0,3,services,other,reputation,mother,0,0,0,no,no,no,yes,no,yes,yes,no,4,2,4,1,2,5,19,19,8,4
87,MS,M,21,U,LE3,T,2,0,at_home,teacher,course,mother,0,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,4,0,7,11,14
88,MS,M,17,R,GT3,T,2,3,other,other,course,mother,1,0,0,no,yes,no,no,yes,no,yes,no,3,2,3,0,1,1,5,8,4,4
89,GP,F,17,U,GT3,T,2,3,services,services,reputation,mother,0,2,0,no,no,no,no,yes,yes,yes,yes,4,3,2,1,2,5,0,6,7,13
90,MS,F,15,U,GT3,T,2,1,other,other,other,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,3,1,1,0,4,7,11,11
91,GP,M,14,R,LE3,A,2,0,at_home,other,course,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,3,4,0,1,4,0,11,7,17
92,GP,M,15,U,GT3,T,3,1,services,services,home,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,3,2,2,1,3,2,2,3,6,16
93,GP,M,15,U,GT3,T,3,0,health,other,home,mother,0,1,0,no,no,no,no,no,yes,yes,yes,4,3,3,1,1,4,0,15,18,12
94,MS,M,16,U,GT3,T,2,0,services,health,home,mother,0,1,0,no,yes,no,no,yes,no,no,no,3,2,2,1,1,3,5,7,7,13
95,GP,F,16,U,GT3,A,2,0,health,services,course,mother,0,0,2,no,no,no,no,no,yes,yes,no,3,3,5,1,1,4,0,9,8,20
96,MS,M,17,U,GT3,T,1,0,teacher,other,course,father,0,0,1,no,yes,no,yes,yes,yes,yes,yes,5,2,2,0,1,4,0,8,6,7
97,MS,F,17,R,LE3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,3,4,1,6,13,17
98,MS,F,14,U,GT3,T,3,0,services,other,home,mother,1,0,0,no,yes,no,no,yes,yes,yes,yes,3,2,2,0,1,4,0,5,4,11
99,MS,F,16,R,GT3,T,0,0,other,other,course,mother,0,1,0,no,no,no,no,yes,yes,no,no,3,3,4,1,0,5,1,7,11,12
100,GP,F,16,R,GT3,T,1,3,services,other,home,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,1,1,3,2,8,9,16
101,GP,F,17,U,LE3,T,1,0,services,other,home,mother,0,2,0,no,yes,no,yes,no,yes,yes,no,0,3,2,0,1,1,1,7,6,5
102,GP,F,15,R,GT3,T,1,1,other,services,course,mother,0,4,0,no,no,no,no,yes,yes,yes,yes,1,1,4,1,3,4,1,14,7,14
103,GP,F,16,U,LE3,T,0,0,teacher,other,reputation,father,0,1,0,no,yes,no,no,yes,yes,yes,yes,2,2,3,6,0,2,1,8,17,18
104,MS,F,15,U,GT3,T,1,0,at_home,health,reputation,mother,0,1,0,no,yes,no,no,yes,yes,no,no,3,2,3,1,1,5,0,4,9,12
105,GP,M,15,U,GT3,T,0,4,at_home,services,reputation,mother,1,1,0,no,no,no,no,yes,no,yes,no,3,2,3,1,1,4,0,11,7,16
106,MS,M,15,U,LE3,T,1,2,health,teacher,home,father,0,0,0,no,yes,no,yes,yes,yes,yes,yes,4,2,3,0,1,0,6,8,14,9
107,GP,M,17,U,LE3,T,1,2,at_home,other,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,3,2,3,1,0,3,0,5,6,9
108,GP,F,15,U,LE3,T,0,2,other,other,course,mother,0,0,0,no,no,no,yes,yes,yes,no,no,3,3,2,0,2,4,0,5,6,9
109,GP,M,16,U,LE3,T,3,0,services,services,reputation,mother,0,1,0,no,yes,no,no,yes,yes,no,no,4,2,3,1,1,4,1,10,13,8
110,GP,F,16,R,GT3,T,0,3,services,other,reputation,mother,1,0,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,0,4,1,3,4,17
111,GP,F,16,U,GT3,T,2,0,other,services,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,1,5,0,9,7,16
112,GP,M,14,U,LE3,T,0,0,other,other,other,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,3,2,4,3,3,5,5,7,10,15
113,GP,F,15,R,GT3,T,3,0,other,other,course,mother,1,0,0,no,yes,no,yes,yes,yes,yes,no,3,3,2,1,5,4,3,2,5,19
114,MS,F,16,U,LE3,T,1,1,services,services,course,mother,0,1,0,no,yes,no,yes,yes,yes,no,no,3,4,3,1,1,4,0,14,8,13
115,GP,F,15,R,LE3,A,0,1,services,services,home,mother,1,0,0,no,no,no,no,yes,yes,yes,no,4,2,1,1,3,4,0,15,10,15
116,GP,M,16,U,GT3,A,2,2,services,teacher,reputation,mother,3,1,0,no,yes,no,yes,no,yes,no,no,3,1,3,1,0,5,2,9,8,8
117,GP,F,14,U,GT3,A,2,0,other,services,reputation,other,0,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,3,5,0,10,10,8
118,GP,M,15,R,GT3,T,0,0,other,other,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,2,3,1,4,4,14,5,6,13
119,MS,M,16,U,GT3,A,3,0,health,other,other,mother,0,1,0,no,no,no,no,yes,yes,yes,no,2,1,2,1,2,5,0,9,5,15
120,GP,F,17,U,GT3,T,1,3,services,services,course,mother,0,2,0,no,no,no,yes,yes,yes,yes,no,3,3,2,1,2,4,1,1,9,9
121,GP,F,17,U,LE3,T,2,3,services,other,course,mother,0,3,0,yes,yes,no,yes,yes,yes,yes,yes,2,3,2,0,1,4,0,5,10,10
122,GP,F,16,U,LE3,T,0,1,services,other,course,mother,0,0,0,no,yes,no,no,yes,no,yes,no,3,2,1,1,2,4,1,3,8,13
123,MS,M,17,U,GT3,T,1,0,at_home,other,home,mother,0,1,0,no,no,no,no,yes,yes,no,no,3,2,2,1,3,0,1,7,10,17
124,MS,F,15,U,LE3,T,2,1,health,other,course,mother,0,1,0,no,yes,no,yes,no,no,yes,yes,4,2,2,0,1,0,3,6,8,15
125,GP,F,17,U,GT3,T,1,0,services,health,home,mother,1,1,0,no,no,no,yes,no,yes,no,yes,4,5,1,1,1,5,0,6,5,11
126,GP,M,16,U,GT3,T,1,1,services,teacher,reputation,mother,0,1,0,no,yes,no,no,yes,yes,no,no,3,2,3,1,4,5,2,5,7,13
127,GP,M,17,R,LE3,T,0,1,other,services,reputation,mother,0,1,0,no,yes,no,yes,yes,no,yes,no,2,3,3,1,1,1,0,11,6,11
128,GP,M,15,U,GT3,T,1,0,other,other,reputation,mother,2,0,0,no,no,no,yes,yes,yes,no,no,5,3,3,1,1,4,25,11,4,16
129,MS,F,16,U,GT3,T,3,0,other,services,course,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,5,2,2,1,1,5,2,10,12,9
130,GP,M,16,U,LE3,T,1,1,health,other,other,mother,0,1,0,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,1,4,1,8,6,16
131,MS,F,16,R,GT3,T,1,0,at_home,other,reputation,father,1,1,0,no,no,no,yes,yes,yes,yes,yes,4,4,3,1,1,1,0,12,5,9
132,MS,F,16,U,LE3,T,0,1,other,health,course,mother,0,0,0,no,no,no,no,yes,yes,yes,no,3,2,3,0,4,4,2,7,12,6
133,GP,M,16,U,LE3,A,0,1,other,other,home,mother,0,1,0,no,yes,no,yes,yes,yes,yes,no,2,3,2,0,0,4,0,4,14,7
134,GP,M,16,U,LE3,T,0,3,other,other,course,mother,0,1,0,no,yes,no,no,yes,yes,yes,no,4,3,2,0,2,5,0,14,8,12
135,MS,M,18,U,GT3,T,2,0,at_home,services,reputation,mother,0,3,0,no,no,no,yes,yes,yes,no,no,5,2,2,4,1,4,3,12,7,20
136,GP,M,16,U,LE3,T,2,0,other,other,home,mother,0,0,0,no,no,no,no,yes,yes,yes,no,2,4,5,1,1,4,1,12,10,10
137,GP,M,15,U,LE3,T,2,1,services,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,4,1,2,5,10,10,6,7
138,GP,M,17,U,GT3,T,0,3,health,other,reputation,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,1,1,2,0,9,17,13
139,MS,F,15,U,GT3,T,1,1,services,other,course,mother,0,1,0,no,no,no,yes,yes,no,yes,no,3,4,2,1,3,4,2,3,10,15
140,GP,F,15,R,GT3,T,3,0,other,health,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,3,3,4,1,1,0,0,4,8,16
141,MS,M,15,U,LE3,T,2,3,other,services,course,mother,0,1,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,0,1,0,4,9,11
142,MS,M,16,U,GT3,T,4,3,other,other,home,father,2,1,0,no,yes,no,yes,yes,yes,yes,yes,3,2,4,1,1,0,1,8,10,12
143,GP,M,18,U,GT3,T,3,3,other,other,course,mother,0,0,0,yes,no,no,no,yes,yes,yes,no,3,4,5,1,1,1,0,6,14,11
144,MS,F,15,R,GT3,T,1,-1,services,teacher,home,father,2,0,0,no,yes,no,no,yes,yes,yes,no,2,3,3,1,1,4,0,13,8,13
145,MS,F,15,U,GT3,T,3,1,services,services,course,mother,0,1,0,no,yes,no,no,yes,yes,yes,no,3,2,5,1,0,4,0,14,11,14
146,GP,M,17,R,GT3,T,1,1,other,other,course,mother,0,0,0,yes,no,no,no,yes,yes,yes,no,0,2,2,1,1,5,-1,9,9,9
147,MS,F,15,U,LE3,T,2,0,other,other,home,father,2,1,0,yes,yes,no,no,yes,yes,yes,no,3,2,3,1,1,5,0,9,7,10
148,MS,F,15,U,LE3,T,4,1,at_home,services,reputation,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,1,2,4,1,0,4,3,4,6,15
149,MS,F,17,U,GT3,T,0,3,services,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,0,3,4,1,1,4,2,3,3,9
150,GP,M,18,U,GT3,T,1,1,at_home,other,home,other,0,3,0,no,yes,no,no,yes,yes,yes,no,4,1,3,3,2,4,0,9,14,10
151,GP,F,16,U,GT3,T,2,2,other,other,other,mother,0,1,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,1,17,5,14
152,GP,F,18,U,LE3,T,0,1,at_home,other,other,mother,0,1,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,0,3,5,2,4,10
153,GP,F,15,R,GT3,T,2,0,other,other,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,yes,5,3,3,1,1,5,0,8,9,14
154,GP,F,15,R,GT3,T,0,1,services,services,course,mother,3,1,0,no,no,no,no,yes,yes,yes,no,3,2,2,1,1,5,4,7,5,10
155,GP,M,17,R,GT3,T,2,0,other,services,home,mother,1,1,0,no,yes,no,no,yes,yes,no,no,3,2,2,1,2,4,0,4,6,15
156,MS,F,16,R,GT3,A,1,3,other,other,reputation,mother,1,0,0,no,no,no,no,yes,yes,yes,yes,3,2,3,0,0,4,7,8,8,14
157,GP,M,15,U,LE3,T,0,0,other,other,course,mother,2,0,0,no,yes,no,no,yes,yes,yes,yes,5,2,5,1,3,2,9,10,7,13
158,MS,F,15,R,GT3,T,1,3,other,other,reputation,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,4,2,4,1,0,4,2,9,14,13
159,GP,M,17,U,GT3,T,2,0,other,other,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,no,2,2,2,1,0,2,0,2,6,16
160,MS,F,16,R,GT3,T,2,-1,other,other,course,other,1,0,0,yes,no,no,no,no,no,yes,no,3,3,2,0,1,2,5,5,8,17
161,GP,F,17,U,GT3,T,1,0,other,other,home,mother,2,0,0,no,yes,no,no,no,yes,yes,yes,4,3,4,1,1,5,0,9,15,9
162,GP,F,17,R,LE3,T,1,2,teacher,at_home,other,mother,0,0,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,4,3,8,6,8
163,MS,M,15,R,GT3,T,2,1,teacher,services,home,mother,1,0,0,no,no,no,no,yes,yes,yes,no,4,2,3,1,3,4,1,6,10,10
164,MS,M,15,U,GT3,T,1,3,teacher,other,course,mother,0,0,0,no,no,no,no,yes,yes,no,yes,3,2,1,1,1,4,0,3,5,6
165,GP,F,17,U,GT3,T,1,3,services,services,reputation,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,3,3,1,1,3,1,5,8,6,12
166,MS,M,16,R,GT3,T,2,0,other,other,course,mother,0,1,0,no,no,no,no,yes,yes,yes,yes,5,2,3,0,1,1,19,6,12,7
167,GP,F,15,R,GT3,T,1,3,other,services,reputation,mother,0,0,0,no,yes,no,yes,yes,yes,no,no,4,2,3,0,1,5,0,18,10,14
168,MS,F,17,U,GT3,T,1,1,other,services,course,mother,0,1,0,no,yes,no,no,yes,no,yes,no,3,2,5,1,1,4,10,11,5,11
169,MS,F,17,U,GT3,T,0,0,other,other,reputation,mother,1,0,0,no,no,yes,yes,no,yes,no,no,3,3,2,2,3,4,1,7,9,17
170,GP,F,15,U,GT3,T,1,1,other,other,reputation,mother,1,0,0,no,yes,no,no,yes,no,yes,no,4,2,4,0,0,4,0,6,11,7
171,GP,F,15,U,GT3,T,1,1,at_home,other,reputation,mother,0,0,0,no,yes,no,yes,yes,yes,no,yes,3,3,2,1,1,4,3,7,9,14
172,GP,M,17,R,LE3,T,1,0,health,other,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,1,1,3,11,2,4,15
173,MS,F,20,U,GT3,T,0,3,health,other,reputation,father,0,0,0,no,yes,no,yes,yes,yes,yes,yes,4,3,5,1,1,4,1,4,3,12
174,GP,M,16,U,GT3,T,1,1,other,services,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,2,2,2,1,2,3,1,7,9,13
175,MS,F,15,U,LE3,T,0,0,at_home,other,home,father,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,5,1,2,4,0,6,5,13
176,GP,M,15,R,LE3,T,0,2,health,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,3,2,1,1,1,4,0,4,8,19
177,MS,M,17,U,LE3,A,2,0,services,other,reputation,mother,0,0,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,1,1,4,0,11,8,14
178,GP,M,17,R,GT3,T,3,2,services,other,home,mother,1,1,0,no,yes,no,no,yes,yes,no,no,4,2,1,1,3,5,17,16,6,13
